DAILY VALUES

Stations
Stnr;Name;Operates from;Operates until;Altitude;Latitude;Longitude;Municipality;County;Region
27400;NØTTERØY - FØYNLAND;Jul 1895;;2;59.2366;10.4560;Færder;Vestfold;SOUTHEASTERN NORWAY
27410;MÅKERØY;Dec 1967;Sep 1994;43;59.1578;10.4402;Færder;Vestfold;SOUTHEASTERN NORWAY
27450;MELSOM;Apr 1959;;26;59.2300;10.3483;Sandefjord;Vestfold;SOUTHEASTERN NORWAY
27470;TORP;Sep 1959;;88;59.1845;10.2553;Sandefjord;Vestfold;SOUTHEASTERN NORWAY
27500;FÆRDER FYR;Jan 1885;;6;59.0272;10.5242;Færder;Vestfold;SOUTHEASTERN NORWAY

Elements
Code;Name;Unit
TAM;Mean temperature;degC
TAN;Minimum temperature;degC
TAND;Air temperatur;degC
TAX;Maximum temperature;degC
TAXD;Air temperature;degC


****************** NOTE *****************
27470 No data for TAND, TAXD
********************************************
****************** NOTE *****************
27410 No data for TAND, TAXD
********************************************
****************** NOTE *****************
No data for: 27470, 27470, 27470, 27470, 27470, 27470
********************************************

Quality information for calculated values
Explanation;Code
OK;OK
Slightly uncertain;LU
Very uncertain;SU
Very uncertain, modeldata;SU-M
Erroneous;FE

****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain, modeldata' (Level 6 or more).
********************************************

St.no;Date;TAM;fTAM;TAN;fTAN;TAND;fTAND;TAX;fTAX;TAXD;fTAXD
27400;05.06.2016;17.8;OK;11.4;-9999;11.4;-9999;22.4;-9999;22.4;-9999
27400;06.06.2016;17.2;OK;14.8;-9999;14.8;-9999;21.2;-9999;20.1;-9999
27400;07.06.2016;17.0;OK;16.1;-9999;16.2;-9999;20.0;-9999;20.0;-9999
27400;08.06.2016;15.3;OK;12.0;-9999;12.0;-9999;19.0;-9999;19.0;-9999
27400;09.06.2016;13.1;OK;10.5;-9999;-9999;-9999;18.3;-9999;-9999;-9999
27400;10.06.2016;13.3;OK;9.5;-9999;9.5;-9999;16.7;-9999;16.7;-9999
27400;11.06.2016;13.9;OK;10.8;-9999;10.8;-9999;17.7;-9999;17.7;-9999
27400;12.06.2016;14.8;OK;7.9;-9999;7.9;-9999;20.3;-9999;20.3;-9999
27400;13.06.2016;15.9;OK;7.7;-9999;7.7;-9999;22.3;-9999;22.3;-9999
27400;14.06.2016;17.2;OK;9.6;-9999;9.6;-9999;22.0;-9999;22.0;-9999
27400;15.06.2016;14.6;OK;12.4;-9999;12.4;-9999;21.1;-9999;18.3;-9999
27400;16.06.2016;18.9;OK;13.8;-9999;13.9;-9999;24.0;-9999;24.0;-9999
27400;17.06.2016;17.9;OK;15.7;-9999;15.7;-9999;22.3;-9999;21.8;-9999
27400;18.06.2016;16.9;OK;14.5;-9999;14.5;-9999;20.0;-9999;20.0;-9999
27400;19.06.2016;14.1;OK;11.0;-9999;11.0;-9999;18.4;-9999;16.6;-9999
27400;20.06.2016;14.6;OK;12.8;-9999;12.8;-9999;16.5;-9999;16.5;-9999
27400;21.06.2016;17.2;OK;13.3;-9999;13.3;-9999;22.4;-9999;22.4;-9999
27400;22.06.2016;16.8;OK;12.3;-9999;12.3;-9999;21.4;-9999;21.4;-9999
27400;23.06.2016;16.5;OK;13.8;-9999;13.8;-9999;19.2;-9999;19.2;-9999
27400;24.06.2016;17.2;OK;15.0;-9999;15.3;-9999;19.5;-9999;19.5;-9999
27400;25.06.2016;18.1;OK;15.5;-9999;15.5;-9999;22.2;-9999;22.2;-9999
27400;26.06.2016;17.0;OK;16.1;-9999;16.1;-9999;19.8;-9999;19.8;-9999
27400;27.06.2016;15.3;OK;12.4;-9999;12.4;-9999;18.0;-9999;18.0;-9999
27400;28.06.2016;16.2;OK;11.6;-9999;11.6;-9999;20.2;-9999;20.2;-9999
27400;29.06.2016;15.6;OK;10.7;-9999;10.7;-9999;18.2;-9999;18.2;-9999
27400;30.06.2016;15.1;OK;12.5;-9999;12.5;-9999;18.2;-9999;18.2;-9999
27400;01.07.2016;14.6;OK;12.0;-9999;12.0;-9999;16.8;-9999;16.8;-9999
27400;02.07.2016;14.3;OK;12.2;-9999;12.2;-9999;17.5;-9999;17.5;-9999
27400;03.07.2016;14.7;OK;10.3;-9999;10.3;-9999;18.6;-9999;18.6;-9999
27400;04.07.2016;15.2;OK;9.3;-9999;9.3;-9999;20.2;-9999;20.2;-9999
27400;05.07.2016;14.6;OK;10.1;-9999;10.1;-9999;19.6;-9999;19.6;-9999
27400;06.07.2016;16.1;OK;11.3;-9999;-9999;-9999;20.7;-9999;-9999;-9999
27400;07.07.2016;16.2;OK;12.0;-9999;12.0;-9999;20.2;-9999;20.2;-9999
27400;08.07.2016;16.6;OK;12.7;-9999;12.7;-9999;21.2;-9999;21.2;-9999
27400;09.07.2016;17.9;OK;11.3;-9999;11.3;-9999;24.2;-9999;24.2;-9999
27400;10.07.2016;16.3;OK;13.1;-9999;-9999;-9999;23.2;-9999;-9999;-9999
27400;11.07.2016;17.5;OK;15.8;-9999;15.8;-9999;20.7;-9999;20.7;-9999
27400;12.07.2016;17.2;OK;14.0;-9999;14.0;-9999;23.9;-9999;23.9;-9999
27400;13.07.2016;16.5;OK;14.2;-9999;14.2;-9999;19.4;-9999;19.4;-9999
27400;14.07.2016;16.9;OK;14.1;-9999;14.1;-9999;20.9;-9999;20.9;-9999
27400;15.07.2016;18.7;OK;14.2;-9999;14.6;-9999;23.6;-9999;23.6;-9999
27400;16.07.2016;17.6;OK;14.3;-9999;14.3;-9999;24.2;-9999;24.2;-9999
27400;17.07.2016;16.0;OK;10.9;-9999;10.9;-9999;20.6;-9999;20.6;-9999
27400;18.07.2016;16.6;OK;10.7;-9999;10.7;-9999;22.2;-9999;22.2;-9999
27400;19.07.2016;16.5;OK;10.8;-9999;10.8;-9999;20.2;-9999;20.2;-9999
27400;20.07.2016;18.4;OK;15.6;-9999;15.6;-9999;22.0;-9999;22.0;-9999
27400;21.07.2016;20.6;OK;14.7;-9999;14.7;-9999;26.6;-9999;26.6;-9999
27400;22.07.2016;20.5;OK;16.5;-9999;16.5;-9999;24.3;-9999;24.3;-9999
27400;23.07.2016;19.8;OK;15.7;-9999;15.7;-9999;24.1;-9999;24.1;-9999
